date,fecha,oecd,per_enc,td,cot,var_mens,mujeres_enc,hombres_enc,pea_ocupada,enc_muj,enc_hom,sc_agri,sc_manu,sc_constr,sc_auto,sc_transp,sc_aloj,sc_inf,sc_fin,sc_prof,sc_admin,sc_ap,sc_educ,sc_salud,sc_art,sc_otroserv,sc_hogar,sc_otrasact,sc_sinesp,vsc_agri,vsc_manu,vsc_constr,vsc_auto,vsc_transp,vsc_aloj,vsc_inf,vsc_fin,vsc_prof,vsc_admin,vsc_ap,vsc_educ,vsc_salud,vsc_art,vsc_otroserv,vsc_hogar,vsc_otrasact,vsc_sinesp
2018/01/01,2018-Ene,BOL,,5.66,,,1457319,1905670,3362988,1457319,1905670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/02/01,2018-Feb,BOL,,6.20,,,1408495,1838087,3246582,1408495,1838087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/03/01,2018-Mar,BOL,,5.54,,,1507986,1851263,3359249,1507986,1851263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04/01,2018-Abr,BOL,,4.85,,,1525423,1932435,3457858,1525423,1932435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/05/01,2018-May,BOL,,4.95,,,1528358,1900762,3429120,1528358,1900762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/06/01,2018-Jun,BOL,,4.90,,,1625869,1894983,3520852,1625869,1894983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/07/01,2018-Jul,BOL,,4.21,,,1669471,1952536,3622008,1669471,1952536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/08/01,2018-Ago,BOL,,4.86,,,1610679,1865759,3476439,1610679,1865759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/09/01,2018-Sept,BOL,,4.98,,,1642919,1904752,3547671,1642919,1904752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/01,2018-Oct,BOL,,3.63,,,1656259,1953056,3609315,1656259,1953056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/01,2018-Nov,BOL,,3.90,,,1658605,1871631,3530236,1658605,1871631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/01,2018-Dic,BOL,,5.06,,,1629632,1915713,3545345,1629632,1915713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/01,2019-Ene,BOL,,7.10,,,1642538,1994102,3636640,1642538,1994102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/02/01,2019-Feb,BOL,,6.63,,,1624486,1951863,3576348,1624486,1951863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/03/01,2019-Mar,BOL,,5.89,,,1603127,1935827,3538954,1603127,1935827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/04/01,2019-Abr,BOL,,5.03,,,1700157,1964364,3664521,1700157,1964364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/05/01,2019-May,BOL,,5.29,,,1663218,1970884,3634102,1663218,1970884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/01,2019-Jun,BOL,,4.61,,,1671595,2019504,3691099,1671595,2019504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/07/01,2019-Jul,BOL,,4.72,,,1732901,2058796,3791696,1732901,2058796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/08/01,2019-Ago,BOL,,4.32,,,1687095,2029473,3716568,1687095,2029473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/09/01,2019-Sept,BOL,,4.18,,,1692334,2023786,3716121,1692334,2023786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/10/01,2019-Oct,BOL,,4.26,,,1684562,2054270,3738832,1684562,2054270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/11/01,2019-Nov,BOL,,5.48,,,1586478,1977894,3564372,1586478,1977894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
