date,fecha,oecd,per_enc,td,msr,cot,var_mens,var_feb,inpc,def,msr_nom,msr_real,pea_ocupada,sc_agri,sc_ind,sc_cons,sc_comer,sc_trans,sc_aloj,sc_fin,sc_ap,sc_otr,sc_sd,vsc_agri,vsc_ind,vsc_cons,vsc_comer,vsc_trans,vsc_aloj,vsc_fin,vsc_ap,vsc_otr,vsc_sd
01/01/2018,2018-Ene,BRA,,12.20,,,,,,,,,91373000.00,,,,,,,,,,,,,,,,,,,,
01/02/2018,2018-Feb,BRA,,12.60,,,,,,,,,90773000.00,,,,,,,,,,,,,,,,,,,,
01/03/2018,2018-Mar,BRA,,13.10,,,,,,,,,90272000.00,,,,,,,,,,,,,,,,,,,,
01/04/2018,2018-Abr,BRA,,12.90,,,,,,,,,90429000.00,,,,,,,,,,,,,,,,,,,,
01/05/2018,2018-May,BRA,,12.70,,,,,,,,,90586000.00,,,,,,,,,,,,,,,,,,,,
01/06/2018,2018-Jun,BRA,,12.40,,,,,,,,,90941000.00,,,,,,,,,,,,,,,,,,,,
01/07/2018,2018-Jul,BRA,,12.30,,,,,,,,,91367000.00,,,,,,,,,,,,,,,,,,,,
01/08/2018,2018-Ago,BRA,,12.10,,,,,,,,,91790000.00,,,,,,,,,,,,,,,,,,,,
01/09/2018,2018-Sept,BRA,,11.90,,,,,,,,,92333000.00,,,,,,,,,,,,,,,,,,,,
01/10/2018,2018-Oct,BRA,,11.70,,,,,,,,,92619000.00,,,,,,,,,,,,,,,,,,,,
01/11/2018,2018-Nov,BRA,,11.60,,,,,,,,,92915000.00,,,,,,,,,,,,,,,,,,,,
01/12/2018,2018-Dic,BRA,,11.60,,,,,,,,,92736000.00,,,,,,,,,,,,,,,,,,,,
01/01/2019,2019-Ene,BRA,,12.00,,,,,,,,,92291000.00,,,,,,,,,,,,,,,,,,,,
01/02/2019,2019-Feb,BRA,,12.40,,,,,,,,,91880000.00,,,,,,,,,,,,,,,,,,,,
01/03/2019,2019-Mar,BRA,,12.70,,,,,,,,,91863000.00,,,,,,,,,,,,,,,,,,,,
01/04/2019,2019-Abr,BRA,,12.50,,,,,,,,,92365000.00,,,,,,,,,,,,,,,,,,,,
01/05/2019,2019-May,BRA,,12.30,,,,,,,,,92947000.00,,,,,,,,,,,,,,,,,,,,
01/06/2019,2019-Jun,BRA,,12.00,,,,,,,,,93342000.00,,,,,,,,,,,,,,,,,,,,
01/07/2019,2019-Jul,BRA,,11.80,,,,,,,,,93584000.00,,,,,,,,,,,,,,,,,,,,
01/08/2019,2019-Ago,BRA,,11.80,,,,,,,,,93631000.00,,,,,,,,,,,,,,,,,,,,
01/09/2019,2019-Sept,BRA,,11.80,,,,,,,,,93801000.00,,,,,,,,,,,,,,,,,,,,
01/10/2019,2019-Oct,BRA,,11.60,,,,,,,,,94055000.00,,,,,,,,,,,,,,,,,,,,
01/11/2019,2019-Nov,BRA,,11.20,,,,,,,,,94416000.00,,,,,,,,,,,,,,,,,,,,
01/12/2019,2019-Dic,BRA,,11.00,,,,,,,,,94552000.00,,,,,,,,,,,,,,,,,,,,
01/01/2020,2020-Ene,BRA,,11.20,,,,,,,,,94151000.00,8 323,12 121,6 781,17 922,4 965,5 633,10 598,16 384,5 111,6 292,,,,,,,,,,
01/02/2020,2020-Feb,BRA,,11.60,,,,,,,,,93710000.00,8 370,12 165,6 624,17 853,4 970,5 613,10 582,16 186,5 082,6 243,,,,,,,,,,
01/03/2020,2020-Mar,BRA,-1.59,12.20,,,,,,,,,92223000.00,8 266,11 844,6 380,17 381,4 870,5 355,10 625,16 525,4 940,6 016,,,,,,,,,,
01/04/2020,2020-Abr,BRA,-4.77,12.60,,,,,,,,,89241000.00,8 166,11 436,5 896,16 704,4 723,4 933,10 379,16 671,4 745,5 565,-204.00,-729.00,-728.00,-1 149,-247.00,-680.00,-203.00,485.00,-337.00,-678.00
01/05/2020,2020-May,BRA,-8.30,12.90,,,,,,,,,85936000.00,7 993,10 934,5 541,15 870,4 550,4 373,10 240,16 934,4 407,5 074,-377.00,-1 231,-1 083,-1 983,-420.00,-1 240,-342.00,748.00,-675.00,-1 169
01/06/2020,2020-Jun,BRA,-11.06,13.30,,,,,,,,,83347000.00,7 976,10 727,5 323,15 244,4 341,4 006,10 064,16 789,4 117,4 746,-394.00,-1 438,-1 301,-2 609,-629.00,-1 607,-518.00,603.00,-965.00,-1 497
