date,fecha,oecd,per_enc,per_ra,td,cot,var_mens,var_feb,pea_ocupada,mujeres_enc,hombres_enc,e_10a24,e_25a54,e_55mas,inf_ciudades,sc_ni,sc_agri,sc_exp,sc_manu,sc_elec,sc_cons,sc_comer,sc_aloj,sc_trans,sc_ic,sc_fin,sc_inmob,sc_prof,sc_ap,sc_art,vsc_ni,vsc_agri,vsc_exp,vsc_manu,vsc_elec,vsc_cons,vsc_comer,vsc_aloj,vsc_trans,vsc_ic,vsc_fin,vsc_inmob,vsc_prof,vsc_ap,vsc_art,ra_agri,ra_minas,ra_manu,ra_elec,ra_constr,ra_comer,ra_transp,ra_aloj,ra_inf,ra_fin,ra_inmob,ra_prof,ra_ap,ra_art
2018/01/01,2018-Ene,COL,,,11.76,,,,21591426,,,,,,48.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/02/01,2018-Feb,COL,,,10.80,,,,21839700,,,,,,48.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/03/01,2018-Mar,COL,,,9.44,,,,22062266,,,,,,48.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04/01,2018-Abr,COL,,,9.46,,,,22671157,,,,,,48.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/05/01,2018-May,COL,,,9.73,,,,22451218,,,,,,48.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/06/01,2018-Jun,COL,,,9.08,,,,22644721,,,,,,48.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/07/01,2018-Jul,COL,,,9.72,,,,22330725,,,,,,48.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/08/01,2018-Ago,COL,,,9.16,,,,22678110,,,,,,47.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/09/01,2018-Sept,COL,,,9.48,,,,22703863,,,,,,48.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/01,2018-Oct,COL,,,9.06,,,,23098018,9735000,13363000,3919000,15353000,3826000,47.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/01,2018-Nov,COL,,,8.76,,,,22461635,9321000,13141000,3564000,15066000,3832000,48.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/01,2018-Dic,COL,,,9.72,,,,22953012,9406000,13547000,3898000,15165000,3889000,48.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/01,2019-Ene,COL,,,12.80,,,,21649861,8782000,12868000,3450000,14467000,3733000,47.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
