date,fecha,oecd,per_ra,td,msr,cot,var_mens,var_feb,inpc,def,msr_nom,msr_real,pea_ocupada,sc_agri,sc_pesc,sc_exp,sc_manu,sc_elec,sc_cons,sc_comer,sc_aloj,sc_trans,sc_fin,sc_inmob,sc_ap,sc_ens,sc_ss,sc_otr,sc_sd,sc_org,vsc_agri,vsc_pesc,vsc_exp,vsc_manu,vsc_elec,vsc_cons,vsc_comer,vsc_aloj,vsc_trans,vsc_fin,vsc_inmob,vsc_ap,vsc_ens,vsc_ss,vsc_otr,vsc_sd,vsc_org
2018/01/01,2018-Ene,CRI,,,,,,,102.86,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/02/01,2018-Feb,CRI,,,,,,,103.08,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/03/01,2018-Mar,CRI,,10.26,,,,,103.05,1.03,,,2004711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/04/01,2018-Abr,CRI,,,,,,,102.97,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/05/01,2018-May,CRI,,,,,,,102.85,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/06/01,2018-Jun,CRI,,8.67,,,,,103.03,1.03,,,2160036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/07/01,2018-Jul,CRI,,,,,,,103.32,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/08/01,2018-Ago,CRI,,,,,,,103.25,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/09/01,2018-Sept,CRI,,10.18,,,,,103.48,1.03,,,2138140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/10/01,2018-Oct,CRI,,,,,,,103.86,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/01,2018-Nov,CRI,,,,,,,104.30,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/01,2018-Dic,CRI,,11.95,,,,,104.52,1.02,,,2165323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/01,2019-Ene,CRI,,,,1309975,,,104.58,1.02,883027,1178412343732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/02/01,2019-Feb,CRI,,,0.12,1320784,10809,,104.66,1.02,877583,1179846502047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/03/01,2019-Mar,CRI,,11.29,9.67,1324621,3837,,104.51,1.02,958259,1293925845842,2171766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/04/01,2019-Abr,CRI,,,-7.73,1315075,-9546,,105.10,1.01,895583,1193879184322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/05/01,2019-May,CRI,,,1.32,1316683,1608,,105.24,1.01,907512,1209626052700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/06/01,2019-Jun,CRI,,11.92,-2.67,1314691,-1992,,105.53,1.01,887093,1177384276131,2183195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/07/01,2019-Jul,CRI,,,-0.40,1316944,2253,,106.30,1.00,888529,1172704096154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/08/01,2019-Ago,CRI,,,5.03,1316151,-793,,106.20,1.00,932866,1231692623344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/09/01,2019-Sept,CRI,,11.39,-3.66,1315620,-531,,106.09,1.00,898233,1186640255633,2162613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/10/01,2019-Oct,CRI,,,4.10,1325381,9761,,106.02,1.00,927486,1235283406836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/11/01,2019-Nov,CRI,,,-1.97,1330257,4876,,106.24,1.00,907768,1210939230841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/12/01,2019-Dic,CRI,,12.42,1.53,1328858,-1399,,106.11,1.00,921521,1229432381326,2182818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/01/01,2020-Ene,CRI,,,0.09,1327269,-1589,,106.23,1.00,924483,1230546943945,,108774.0,1820.0,1550.0,145284.0,16435.0,57480.0,188695.0,63751.0,64275.0,44897.0,224511.0,224236.0,51094.0,30359.0,83671.0,20015.0,422.0,,,,,,,,,,,,,,,,,
2020/02/01,2020-Feb,CRI,,,-0.49,1341096,13827,,106.54,1.00,913098,1224552337291,,108920.0,1822.0,1562.0,145776.0,16318.0,59292.0,187222.0,63597.0,64740.0,44891.0,225243.0,231187.0,52404.0,30656.0,86932.0,20105.0,429.0,,,,,,,,,,,,,,,,,
2020/03/01,2020-Mar,CRI,-0.09,12.45,3.77,1339931,-1165,-1165,106.50,1.00,948063,1270723673659,2208175,109516.0,1796.0,1544.0,145956.0,16379.0,59283.0,185621.0,62465.0,64433.0,44771.0,225002.0,231311.0,54051.0,30123.0,87062.0,20183.0,435.0,,,,,,,,,,,,,,,,,
2020/04/01,2020-Abr,CRI,-4.46,,-11.63,1281292,-58639,-59804,106.03,1.00,872270,1122922021249,,103679.0,1550.0,1490.0,142412.0,16328.0,55057.0,176103.0,50245.0,60144.0,44255.0,217895.0,227596.0,53659.0,29131.0,81637.0,19678.0,433.0,-5241.0,-272.0,-72.0,-3364.0,10.0,-4235.0,-11119.0,-13352.0,-4596.0,-636.0,-7348.0,-3591.0,1255.0,-1525.0,-5295.0,-427.0,4.0
2020/05/01,2020-May,CRI,-6.49,,,1254118,-27174,-86978,,,,,,102244.0,1517.0,1466.0,140432.0,16311.0,53670.0,171690.0,43891.0,57728.0,43750.0,215203.0,226438.0,52666.0,28867.0,78380.0,19434.0,431.0,-6676.0,-305.0,-96.0,-5344.0,-7.0,-5622.0,-15532.0,-19706.0,-7012.0,-1141.0,-10040.0,-4749.0,262.0,-1789.0,-8552.0,-671.0,2.0
2020/06/02,2020-Jun,CRI,-6.46,24.01,,1254432,314,-86664,,,,,1745257,104264.0,1472.0,1476.0,139850.0,16291.0,53237.0,172045.0,43132.0,57162.0,43544.0,217396.0,226203.0,51157.0,28941.0,78243.0,19593.0,426.0,-4656.0,-350.0,-86.0,-5926.0,-27.0,-6055.0,-15177.0,-20465.0,-7578.0,-1347.0,-7847.0,-4984.0,-1247.0,-1715.0,-8689.0,-512.0,-3.0
2020/07/02,2020-Jul,CRI,-6.76,,,1250409,-4023,-90687,,,,,,102372.0,1500.0,1446.0,139088.0,16270.0,52715.0,171801.0,41889.0,56064.0,43596.0,218548.0,227380.0,50364.0,29164.0,78148.0,19638.0,426.0,-6548.0,-322.0,-116.0,-6688.0,-48.0,-6577.0,-15421.0,-21708.0,-8676.0,-1295.0,-6695.0,-3807.0,-2040.0,-1492.0,-8784.0,-467.0,-3.0
2020/08/01,2020-Ago,CRI,-6.89,,,1248752,-1657,-92344,,,,,,101971.0,1470.0,1461.0,139204.0,16277.0,53411.0,171796.0,40363.0,55760.0,42921.0,219505.0,227258.0,50202.0,29107.0,78073.0,19539.0,434.0,-6949.0,-352.0,-101.0,-6572.0,-41.0,-5881.0,-15426.0,-23234.0,-8980.0,-1970.0,-5738.0,-3929.0,-2202.0,-1549.0,-8859.0,-566.0,5.0
2020/09/01,2020-Sep,CRI,-6.13,21.98,,1258896,10144,-82200,,,,,1846109,103209.0,1480.0,1496.0,140430.0,16308.0,54076.0,173916.0,41083.0,55891.0,42693.0,222051.0,227920.0,50075.0,29243.0,79050.0,19538.0,437.0,-5711.0,-342.0,-66.0,-5346.0,-10.0,-5216.0,-13306.0,-22514.0,-8849.0,-2198.0,-3192.0,-3267.0,-2329.0,-1413.0,-7882.0,-567.0,8.0
