date,fecha,oecd,per_ra,td,pea_ocupada,msr,cot,var_mens,var_feb,mujeres_ra,hombres_ra,sal_prom,inpc,def,msr_val,inf,cot_agri,cot_min,cot_manu,cot_elect,cot_agua,cot_constr,cot_comer,cot_trans,cot_aloj,cot_inf,cot_fin,cot_inmob,cot_prof,cot_serva,cot_ap,cot_ense,cot_sal,cot_ent,cot_otr,cot_hog,cot_org,cot_desc,sm_01,sm_12,sm_23,sm_34,sm_46,sm_68,sm_810,sm1015,sm_15m,vcot_agri,vcot_min,vcot_manu,vcot_elect,vcot_agua,vcot_constr,vcot_comer,vcot_trans,vcot_aloj,vcot_inf,vcot_fin,vcot_inmob,vcot_prof,vcot_serva,vcot_ap,vcot_ense,vcot_sal,vcot_ent,vcot_otr,vcot_hog,vcot_org,vcot_desc,vsm_01,vsm_12,vsm_23,vsm_34,vsm_46,vsm_68,vsm_810,vsm1015,vsm_15m,e_hasta19,e_20a24,e_25a29,e_30a34,e_35a39,e_40a44,e_45a49,e_50a54,e_55a59,e_60mas
2018/01/01,2018-Ene,DOM,,,,,1777342,,,786302,991040,22158,129,1,41263707845,,,,,,,,,,,,,,,,,,,,,,,,716345,589490,178062,115280,106820,30858,14831,14789,10867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28292,219448,291259,256356,242506,199904,168888,140640,97725,132324
2018/02/01,2018-Feb,DOM,,,,-0.15,1807468,30126,,802657,1004811,21733,128,1,41202820855,,,,,,,,,,,,,,,,,,,,,,,,779525,562343,173157,92348,129479,30912,14918,14543,10243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29126,223678,296378,260705,246826,203326,171072,142688,99427,134242
2018/03/01,2018-Mar,DOM,,5.3,4495638,5.64,1860698,53230,,827102,1033596,22385,129,1,43526883196,50.2,,,,,,,,,,,,,,,,,,,,,,,777313,591875,184665,96885,133244,32649,15992,16379,11696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29522,227967,303910,267496,253838,209693,176914,147578,103173,140607
2018/04/01,2018-Abr,DOM,,,,-3.25,1830789,-29909,,812205,1018584,22098,129,1,42111611818,,,,,,,,,,,,,,,,,,,,,,,,756687,596268,179148,94854,131486,31710,15230,14986,10420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29514,223874,299025,263196,249634,206539,173957,145253,101793,138004
2018/05/01,2018-May,DOM,,,,4.44,1890857,60068,,840525,1050332,22405,130,1,43981222539,,,,,,,,,,,,,,,,,,,,,,,,793220,601448,185711,91351,140851,33141,16254,16841,12040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30944,231597,309268,270911,257295,212451,179807,149611,105253,143720
2018/06/01,2018-Jun,DOM,,5.8,4520797,-5.13,1813834,-77023,,805835,1007999,22204,130,1,41724353963,50.4,,,,,,,,,,,,,,,,,,,,,,,751509,586388,178016,87446,137334,31789,15428,15186,10738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30154,222315,297515,260558,247235,203886,172443,143096,101072,135560
2018/07/01,2018-Jul,DOM,,,,7.04,1894599,80765,,843559,1051040,22751,130,1,44663242305,,,,,,,,,,,,,,,,,,,,,,,,771545,610570,193342,95064,143485,34105,16634,17271,12583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31793,231335,309013,270886,257154,212240,180109,150078,106545,145446
2018/08/01,2018-Ago,DOM,,,,-1.29,1888021,-6578,,840706,1047315,22543,130,1,44088173479,,,,,,,,,,,,,,,,,,,,,,,,790116,596004,189066,91039,142241,33876,16539,16574,12566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32146,229874,307490,269136,255821,212203,179589,149383,106704,145675
2018/09/01,2018-Sept,DOM,,5.6,4558422,-1.89,1857705,-30316,,828625,1029080,22496,130,1,43256752064,50.7,,,,,,,,,,,,,,,,,,,,,,,761037,599529,187725,90050,141809,33736,16385,16124,11310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31673,226467,302610,265371,251131,209101,177864,146739,104779,141970
2018/10/01,2018-Oct,DOM,,,,4.09,1922130,64425,,860531,1061599,22681,130,1,45023959652,,,,,,,,,,,,,,,,,,,,,,,,794127,611224,197170,92440,145632,34244,17330,17279,12684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32055,232736,313064,273780,260458,215888,183003,151984,109625,149537
2018/11/01,2018-Nov,DOM,,,,-1.75,1902380,-19750,,851820,1050560,22437,130,1,44237486907,,,,,,,,,,,,,,,,,,,,,,,,791103,605769,191337,88263,147084,33758,16811,16591,11664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31397,230666,309680,271270,256852,213901,180526,150169,109031,148888
2018/12/01,2018-Dic,DOM,,5.8,4582166,8.06,1935968,33588,,868698,1067270,23773,130,1,47802242763,48.9,,,,,,,,,,,,,,,,,,,,,,,774107,609929,207087,97159,155742,37633,19433,19658,15220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31934,235945,315351,276244,261598,217445,183333,152192,110853,151073
2019/01/01,2019-Ene,DOM,,,,-7.33,1872444,-63524,,835913,1036531,22738,129,1,44296748347,,,,,,,,,,,,,,,,,,,,,,,,757483,608095,193581,87312,146462,33558,16816,16813,12324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30538,228015,304510,268502,251685,209587,177151,147132,107873,147451
2019/02/01,2019-Feb,DOM,,,,-0.46,1914717,42273,,858774,1055943,22216,130,1,44092004799,,,,,,,,,,,,,,,,,,,,,,,,823414,588521,189426,86516,147060,33994,16927,16864,11995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31806,234021,313462,272532,258354,214719,180795,149783,109648,149597
2019/03/01,2019-Mar,DOM,,5.8,4648638,4.95,1969696,54979,,884850,1084846,22812,131,1,46272473544,48.9,,,,,,,,,,,,,,,,,,,,,,,824286,615166,200424,92325,151718,35318,18086,18235,14138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32513,237366,319882,280592,264398,221424,186928,155013,114049,157531
2019/04/01,2019-Abr,DOM,,,,-1.98,1962253,-7443,,880236,1082017,22564,131,1,45358574785,,,,,,,,,,,,,,,,,,,,,,,,717643,669561,205051,93548,156334,36817,18758,19630,14540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31428,230309,312445,277219,257736,217076,183107,151996,112944,157622
2019/05/01,2019-May,DOM,,,,4.57,1931882,-30371,,882216,1049666,23959,131,1,47431645364,,,,,,,,,,,,,,,,,,,,,,,,717643,669561,205051,93548,156334,36817,18758,19630,14540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31428,230309,312445,277219,257736,217076,183107,151996,112944,157622
2019/06/01,2019-Jun,DOM,,6.4,4657061,-2.86,1885197,-46685,,859573,1025624,23806,131,1,46073372212,48.9,,,,,,,,,,,,,,,,,,,,,,,687597,667557,198925,91858,153974,35724,17894,18290,13378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30860,224100,305874,269823,252546,212221,178792,147719,110352,152910
2019/07/01,2019-Jul,DOM,,,,2.56,1939817,54620,,886291,1053526,23839,132,1,47254593231,,,,,,,,,,,,,,,,,,,,,,,,717754,674938,208260,93496,155890,37146,19032,19327,13974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31567,229334,312762,277283,259026,218727,184388,153235,113874,159621
