date,fecha,oecd,per_ra,per_enc,pea_ocupada,td,msr,cot,var_mens,var_feb,sal_prom,inpc,def,msr_val,asegurados_agri,var_agri,asegurados_extrac,var_extrac,asegurados_const,var_const,asegurados_transf,var_transf,asegurados_elect,var_elect,asegurados_comer,var_comer,asegurados_transp,var_transp,asegurados_servemp,var_servemp,asegurados_servsoc,var_servsoc,inf,sm_01,sm_12,sm_23,sm_34,sm_46,sm_68,sm_810,sm1015,sm_15m,vsm_01,vsm_12,vsm_23,vsm_34,vsm_46,vsm_68,vsm_810,vsm1015,vsm_15m,mujeres_ra,hombres_ra,mujeres_enc,hombres_enc,e_hasta15,e_15a19,e_20a24,e_25a29,e_30a34,e_35a39,e_40a44,e_45a49,e_50a54,e_55a59,e_60a64,e_65a69,e_70a74,e_75mas
2018/01/01,2018-Ene,MEX,,,,,,19532177,113722,,348.110,98.795,1.082,7356406425,731656,,129082,,1624149,,5255956,,143157,,3885490,,1098889,,4549524,,2114274,,,175341,8018430,3678455,2056498,2185449,1242611,627713,786327,232140,,,,,,,,,,7235102,12297075,,,360,"607,141","2,550,127","3,310,287","2,973,221","2,659,686","2,396,354","1,995,062","1,452,854","996,760","393,996","122,634","45,622","28,073"
2018/02/01,2018-Feb,MEX,,,,,0.826,19696488,164311,,349.385,99.171,1.078,7417192297,737160,,131510,,1648290,,5309352,,143385,,3902213,,1103513,,4587711,,2133354,,,173335,8137554,3679270,2067236,2197618,1253877,631051,790410,232510,,,,,,,,,,7297987,12398501,,,369,"615,543","2,582,173","3,342,012","2,994,230","2,677,531","2,410,958","2,010,674","1,463,821","1,005,698","396,139","123,352","45,723","28,265"
2018/03/01,2018-Mar,MEX,,,52876916,3.1395,0.115,19786997,90509,,349.314,99.492,1.074,7425753742,760836,,131546,,1638633,,5334363,,144890,,3912131,,1110710,,4618554,,2135334,,30005905,170930,7989214,3770032,2168260,2279040,1255787,639328,761358,225872,,,,,,,,,,7349130,12437867,20100506,32776410,382,"617,963","2,599,998","3,360,775","3,003,031","2,685,549","2,416,895","2,020,763","1,472,006","1,013,253","398,043","124,026","45,876","28,437"
2018/04/01,2018-Abr,MEX,,,,,0.797,19874106,87109,,349.368,99.155,1.078,7484961644,724699,,132367,,1673021,,5362196,,144253,,3924789,,1118667,,4648611,,2145503,,,170212,8075421,3755517,2163978,2280656,1259490,640232,766351,228462,,,,,,,,,,7388093,12486013,,,366,"611,278","2,606,897","3,376,811","3,015,721","2,699,469","2,425,815","2,032,602","1,483,960","1,021,906","399,800","124,931","46,138","28,412"
2018/05/01,2018-May,MEX,,,,,1.614,19908072,33966,,353.827,98.994,1.080,7605788627,704227,,133965,,1685429,,5384058,,143971,,3938921,,1122774,,4655228,,2139499,,,168294,7940605,3804433,2187440,2322723,1271011,645954,769929,235926,,,,,,,,,,7412381,12495691,,,360,"603,720","2,612,356","3,382,712","3,018,727","2,704,476","2,426,601","2,040,648","1,490,706","1,027,726","400,127","125,328","46,212","28,373"
2018/06/01,2018-Jun,MEX,,,53785257,3.3394,-0.558,19894575,-13497,,353.453,99.376,1.076,7563384344,652337,,133698,,1689103,,5391141,,144441,,3957111,,1125051,,4673100,,2128593,,30467842,166836,7989366,3775279,2168928,2314160,1268824,642053,772046,236666,,,,,,,,,,7426241,12468334,20666925,33118332,362,"624,086","2,621,120","3,372,582","3,006,756","2,697,340","2,416,088","2,040,816","1,490,195","1,028,374","398,541","124,459","45,762","28,094"
2018/07/01,2018-Jul,MEX,,,,,0.863,19949244,54669,,357.432,99.909,1.070,7628643349,638143,,133040,,1712692,,5428385,,145799,,3973894,,1130363,,4702358,,2084570,,,154420,7897356,3803434,2168641,2335035,1297508,677691,807685,244976,,,,,,,,,,7436778,12512466,,,499,"648,606","2,625,389","3,379,140","3,009,592","2,699,627","2,415,601","2,046,314","1,494,102","1,031,597","400,422","124,752","45,631","27,972"
2018/08/01,2018-Ago,MEX,,,,,-0.370,20063433,114189,,356.148,100.492,1.064,7600411733,646532,,131891,,1735685,,5455101,,145119,,3983106,,1138592,,4702379,,2125028,,,148328,8036670,3792274,2159229,2331448,1299104,677070,809383,245633,,,,,,,,,,7487421,12576012,,,451,"642,985","2,625,204","3,402,682","3,032,371","2,719,891","2,427,554","2,062,967","1,506,199","1,040,382","403,337","125,518","45,859","28,033"
2018/09/01,2018-Sept,MEX,,,54027997,3.4564,-1.001,20192960,129527,,351.803,100.917,1.059,7524337086,680495,,131031,,1736242,,5484878,,145103,,3994244,,1140678,,4725924,,2154365,,30635009,154582,8023132,3921636,2218833,2361174,1292214,654097,789345,237610,,,,,,,,,,7554142,12638818,20599736,33428261,422,"650,258","2,641,457","3,420,677","3,049,522","2,735,717","2,439,643","2,080,130","1,517,316","1,050,455","406,269","126,641","46,182","28,271"
2018/10/01,2018-Oct,MEX,,,,,-0.049,20356179,163219,,350.618,101.440,1.054,7520639768,692094,,130896,,1747574,,5518463,,144825,,4035199,,1154332,,4768999,,2163797,,,165125,8175047,3922209,2210546,2356339,1297991,655751,789552,240279,,,,,,,,,,7627895,12728284,,,375,"664,151","2,671,265","3,448,178","3,070,541","2,753,499","2,453,432","2,097,005","1,527,774","1,058,784","409,116","127,468","46,204","28,387"
2018/11/01,2018-Nov,MEX,,,,,0.245,20457926,101747,,352.703,102.303,1.045,7539037863,719966,,130245,,1713162,,5529450,,145337,,4086796,,1158571,,4801237,,2173162,,,164411,8056629,4018012,2274016,2370655,1325892,660277,786404,246479,,,,,,,,,,7691614,12766312,,,357,"667,007","2,690,826","3,466,199","3,082,256","2,764,393","2,460,853","2,108,657","1,536,708","1,063,866","413,084","128,380","46,711","28,629"
2018/12/01,2018-Dic,MEX,,,54194608,3.264,-2.079,20079365,-378561,,354.348,103.020,1.038,7382293939,736854,,127936,,1587298,,5428597,,145917,,4046072,,1150983,,4742401,,2113307,,30693062,154078,7902745,3897391,2236438,2342643,1314471,654344,783095,246355,,,,,,,,,,7574396,12504969,20908056,33286552,325,"637,062","2,611,681","3,388,513","3,024,988","2,718,385","2,418,978","2,084,943","1,522,340","1,055,045","413,716","127,921","46,639","28,829"
