date,fecha,oecd,per_enc,per_ra,cot,var_mens,var_feb,pea_ocupada,mujeres_enc,hombres_enc,td,var_mens,enc_agri,enc_manu,enc_constr,enc_comer,enc_ser,enc_otros,enc_nd,e_15a19,e_20a24,e_25a29,e_30a44,e_45a59,e_60ymas
2018/01/01,2018-Ene,PRY,,,580933,,,,,,,,,,,,,,,,,,,,
2018/02/01,2018-Feb,PRY,,,584589,3656,,,,,,,,,,,,,,,,,,,
2018/03/01,2018-Mar,PRY,,,587222,2633,,3246772,1298621,1948151,7,,662927,337959,242489,857793,795221,349151,0,233913,403966,455856,1150491,711521,291025
2018/04/01,2018-Abr,PRY,,,590259,3037,,,,,,,,,,,,,,,,,,,
2018/05/01,2018-May,PRY,,,591527,1268,,,,,,,,,,,,,,,,,,,
2018/06/01,2018-Jun,PRY,,,594098,2571,,3285378,1373948,1911430,6,38606,652824,342298,220509,921400,789531,358423,393,232058,406122,446897,1168836,730947,300518
2018/07/01,2018-Jul,PRY,,,596085,1987,,,,,,,,,,,,,,,,,,,
2018/08/01,2018-Ago,PRY,,,596800,715,,,,,,,,,,,,,,,,,,,
2018/09/01,2018-Sept,PRY,,,598023,1223,,3351620,1406792,1944828,6,66242,689480,392613,217755,855203,821977,373498,1094,240691,428983,470348,1182280,732198,297120
2018/10/01,2018-Oct,PRY,,,600310,2287,,,,,,,,,,,,,,,,,,,
2018/11/01,2018-Nov,PRY,,,602446,2136,,,,,,,,,,,,,,,,,,,
2018/12/01,2018-Dic,PRY,,,598622,-3824,,3363354,1358653,2004701,6,11734,653628,387461,251028,882783,836035,351400,1019,260133,412541,465698,1182474,717952,324556
2019/01/01,2019-Ene,PRY,,,597940,-682,,,,,,,,,,,,,,,,,,,
2019/02/01,2019-Feb,PRY,,,602391,4451,,,,,,,,,,,,,,,,,,,
2019/03/01,2019-Mar,PRY,,,604994,2603,,3407247,1402994,2004253,7,43893,670495,342890,234555,957414,845186,354736,1971,262077,420036,468619,1187555,748393,320567
2019/04/01,2019-Abr,PRY,,,606884,1890,,,,,,,,,,,,,,,,,,,
2019/05/01,2019-May,PRY,,,608046,1162,,,,,,,,,,,,,,,,,,,
2019/06/01,2019-Jun,PRY,,,613231,5185,,3291091,1372674,1918417,7,-116156,577955,333693,208350,995618,828876,342478,4121,215806,401548,445835,1200810,702353,324739
2019/07/01,2019-Jul,PRY,,,615551,2320,,,,,,,,,,,,,,,,,,,
2019/08/01,2019-Ago,PRY,,,618434,2883,,,,,,,,,,,,,,,,,,,
2019/09/01,2019-Sept,PRY,,,621680,3246,,3378074,1393267,1984807,6,86983,628217,349735,251322,922017,861450,364910,423,233855,427947,462883,1218792,720534,314063
2019/10/01,2019-Oct,PRY,,,624906,3226,,,,,,,,,,,,,,,,,,,
2019/11/01,2019-Nov,PRY,,,631654,6748,,,,,,,,,,,,,,,,,,,
2019/12/01,2019-Dic,PRY,,,628073,-3581,,3466761,1438719,2028042,6,88687,657303,385720,275065,926133,879029,341371,2140,252257,422708,479084,1224736,751149,336827
2020/01/01,2020-Ene,PRY,,,630975,2902,,,,,,,,,,,,,,,,,,,
2020/02/01,2020-Feb,PRY,,,637967,6992,,,,,,,,,,,,,,,,,,,
2020/03/01,2020-Mar,PRY,,0,638644,677,677,3321068,1370622,1950446,8,-145693,678478,354466,264120,865726,830926,324075,3277,226576,390063,447585,1221466,717351,318027
2020/04/01,2020-Abr,PRY,,-2,624664,-13980,-13303,,,,,,,,,,,,,,,,,,
2020/05/01,2020-May,PRY,,-3,619232,-5432,-18735,,,,,,,,,,,,,,,,,,
2020/06/01,2020-Jun,PRY,-6,-3,616730,-2502,-21237,3133673,1239372,1894301,8,-187395,653227,335057,240854,757852,835329,303706,7648,189064,370272,430374,1161628,692137,290198
2020/07/01,2020-Jul,PRY,,-4.21,611109,-5621,-26858,,,,,,,,,,,,,,,,,,
2020/08/01,2020-Ago,PRY,,,,,,,,,,,,,,,,,,,,,,,
2020/09/01,2020-Sep,PRY,0,,,,,3318921,"1,320,953","1,997,968",,"185,248",780792,333182,265234,812630,773345,353023,715,208619,398699,446441,1204206,733793,327163
