date,fecha,oecd,per_ra,cot,var_mens,var_feb,ra_agri,ra_manu,ra_constr,ra_comer,ra_inf,ra_fin,ra_inmob,ra_prof,ra_serv,ra_dom,ra_SALEX,ra_indep,ra_pub,cot_pens,mujeres_pens,hombres_pens
2018/01/01,2018-Ene,SLV,,824973,,,,,,,,,,,,,,,,,,
2018/02/01,2018-Feb,SLV,,826397,1424,,,,,,,,,,,,,,,,,
2018/03/01,2018-Mar,SLV,,827844,1447,,,,,,,,,,,,,,,,,
2018/04/01,2018-Abr,SLV,,832047,4203,,,,,,,,,,,,,,,,,
2018/05/01,2018-May,SLV,,833453,1406,,,,,,,,,,,,,,,726807,,
2018/06/01,2018-Jun,SLV,,839020,5567,,,,,,,,,,,,,,,728210,,
2018/07/01,2018-Jul,SLV,,839938,918,,,,,,,,,,,,,,,735438,,
2018/08/01,2018-Ago,SLV,,840891,953,,,,,,,,,,,,,,,734226,,
2018/09/01,2018-Sept,SLV,,842640,1749,,,,,,,,,,,,,,,737779,,
2018/10/01,2018-Oct,SLV,,844707,2067,,,,,,,,,,,,,,,740644,,
2018/11/01,2018-Nov,SLV,,849117,4410,,,,,,,,,,,,,,,736697,,
2018/12/01,2018-Dic,SLV,,839886,-9231,,,,,,,,,,,,,,,734914,,
2019/01/01,2019-Ene,SLV,,848775,8889,,,,,,,,,,,,,,,746448,,
2019/02/01,2019-Feb,SLV,,850347,1572,,,,,,,,,,,,,,,745859,,
2019/03/01,2019-Mar,SLV,,850986,639,,,,,,,,,,,,,,,738607,,
2019/04/01,2019-Abr,SLV,,849727,-1259,,,,,,,,,,,,,,,738860,,
2019/05/01,2019-May,SLV,,850115,388,,,,,,,,,,,,,,,736750,,
2019/06/01,2019-Jun,SLV,,855060,4945,,,,,,,,,,,,,,,736115,,
2019/07/01,2019-Jul,SLV,,856659,1599,,,,,,,,,,,,,,,739818,,
2019/08/01,2019-Ago,SLV,,858257,1598,,,,,,,,,,,,,,,742402,,
2019/09/01,2019-Sept,SLV,,861734,3477,,,,,,,,,,,,,,,735112,,
2019/10/01,2019-Oct,SLV,,864149,2415,,,,,,,,,,,,,,,743075,,
2019/11/01,2019-Nov,SLV,,870240,6091,,,,,,,,,,,,,,,746985,,
2019/12/01,2019-Dic,SLV,,856118,-14122,,,,,,,,,,,,,,,741393,,
2020/01/01,2020-Ene,SLV,,867698,11580,,14158,187798,25944,205487,18133,32899,6853,128390,69137,1924,60,2549,174366,746066,315316,423142
2020/02/01,2020-Feb,SLV,,865225,-2473,-2473,13958,188119,26187,201827,18086,32606,6849,127326,69757,1928,61,2668,175853,747533,313057,426870
2020/03/01,2020-Mar,SLV,-1,859585,-5640,-5640,13632,186839,25251,199245,18347,32568,6922,126402,69286,1917,65,2708,176403,740632,307773,418924
2020/04/01,2020-Abr,SLV,-4,829086,-30499,-36139,12613,178174,21829,191744,17772,32191,6695,120094,67791,1857,62,2475,175789,701568,295542,399197
2020/05/01,2020-May,SLV,-7,804270,-24816,-60955,12475,168687,18057,186031,17666,31443,5780,116667,66885,1823,61,2396,176299,681178,287121,387487
2020/06/01,2020-Jun,SLV,-8,797357,-6913,-67868,12301,165291,19171,182794,17685,31049,5796,115946,66188,1797,63,2370,176906,667009,283205,377323
2020/07/01,2020-Jul,SLV,-7,800849,3492,-64376,12661,170174,20203,180733,17739,30712,6124,115942,65182,1779,62,2415,177123,674948,286528,382747
2020/08/01,2020-Ago,SLV,-7,805135,4286,-60090,12466,174450,20477,182052,17588,30495,6104,115816,64676,1746,61,2411,176793,684807,289879,388981
2020/09/01,2020-Sep,SLV,-6,810899,5764,-54326,12469,175636,21173,182937,17708,30199,6332,117766,64377,1732,61,2481,178028,691087,293738,391621
2020/10/01,2020-Oct,SLV,,,,,,,,,,,,,,,,,,710492,302114,402285
2020/11/01,2020-Nov,SLV,,,,,,,,,,,,,,,,,,720281,306148,407855
