date,fecha,oecd,per_ra,per_enc,td,pea_ocupada,cot,var_mens,var_feb,cot_patron,cot_dep,cot_pub,cot_indycom,cot_rur,cot_dome,cot_const,vcot_pub,vcot_indycon,vcot_rur,vcot_dome,vcot_const,bene_desemp,bene_desp,bene_reduc,bene_susp,solicitud_des,
2018/01/01,2018-Ene,URY,,,8.5,,,,,,,,,,,,,,,,,,,,,,
2018/02/01,2018-Feb,URY,,,9.3,,,,,,,,,,,,,,,,,,,,,,
2018/03/01,2018-Mar,URY,,,8.5,,,,,,,,,,,,,,,,,,,,,,
2018/04/01,2018-Abr,URY,,,8.2,,,,,,,,,,,,,,,,,41719,30560,1799,9360,9783,
2018/05/01,2018-May,URY,,,8.1,,,,,,,,,,,,,,,,,43674,29570,2490,11614,12366,
2018/06/01,2018-Jun,URY,,,7.9,,,,,,,,,,,,,,,,,45202,29459,2268,13475,11321,
2018/07/01,2018-Jul,URY,,,7.8,,,,,,,,,,,,,,,,,44739,28359,2393,13987,11238,
2018/08/01,2018-Ago,URY,,,9.0,,,,,,,,,,,,,,,,,45122,28116,2329,14677,11106,
2018/09/01,2018-Sept,URY,,,8.7,,,,,,,,,,,,,,,,,43961,28211,2376,13374,9271,
2018/10/01,2018-Oct,URY,,,8.6,,,,,,,,,,,,,,,,,43572,28562,2576,12434,12387,
2018/11/01,2018-Nov,URY,,,7.4,,,,,,,,,,,,,,,,,44225,29426,2997,11802,11728,
2018/12/01,2018-Dic,URY,,,8.4,,1227841,1227841,,210430,990400,237441,774481,87463,77186,51270,,,,,,44701,31209,3002,10490,10151,
2019/01/01,2019-Ene,URY,,,8.4,,1228681,840,,211683,990176,238505,787610,78310,76826,47430,,,,,,47355,32070,3051,12234,15653,
2019/02/01,2019-Feb,URY,,,8.4,,1206871,-21810,,211225,973048,233823,776061,76537,76373,44077,,,,,,44319,31148,2161,11010,8992,
2019/03/01,2019-Mar,URY,,,9.5,,1206953,82,,210766,972487,234466,772277,78251,76266,45693,,,,,,45260,31557,2936,10767,10604,
2019/04/01,2019-Abr,URY,,,8.0,,1206014,-939,,210603,973459,232555,770580,80393,76662,45824,,,,,,43072,30325,2045,10702,9518,
2019/05/01,2019-May,URY,,,8.8,,1194857,-11157,,210101,959691,235166,759784,79207,76279,44421,,,,,,44864,30054,2509,12301,11946,
2019/06/01,2019-Jun,URY,,,9.8,,1195654,797,,210593,960258,235396,757625,80042,76580,46011,,,,,,47836,29907,3602,14327,10903,
2019/07/01,2019-Jul,URY,,,9.1,,1194943,-711,,210810,958899,236044,757235,79817,76728,45119,,,,,,47624,28958,4281,14385,13799,
2019/08/01,2019-Ago,URY,,,9.1,,1196775,1832,,211377,960236,236539,757146,79586,77000,46504,,,,,,46517,29004,3220,14293,11597,
2019/09/01,2019-Sept,URY,,,9.5,,1199254,2479,,212074,962131,237123,757699,79890,77411,47131,,,,,,44946,28829,2956,13161,11496,
2019/10/01,2019-Oct,URY,,,8.8,,1202331,3077,,212474,964995,237336,758518,80739,77847,47891,,,,,,45464,29640,3612,12212,12146,
2019/11/01,2019-Nov,URY,,,9.2,,1211476,9145,,213367,973697,237779,763909,82412,78192,49184,,,,,,42856,29476,2293,11087,11753,
2019/12/01,2019-Dic,URY,,,8.5,,1220091,8615,,214024,982599,237492,769893,83547,78144,51015,,,,,,44260,31383,2356,10521,11757,
2020/01/01,2020-Ene,URY,,,8.5,,1229855,9764,,215015,991572,238283,786051,78955,78082,48484,,,,,,48158,32214,3184,12760,13642,
2020/02/01,2020-Feb,URY,,,10.5,1626000,1205735,-24120,,214311,970319,235416,772825,74739,77729,45026,,,,,,45937,31313,2906,11718,10856,
2020/03/01,2020-Mar,URY,0.2,-5.7,10.1,1533000,1207638,1903,1903,213757,971681,235957,770511,76791,77759,46620,541,-2314,2052,30,1594,117944,32332,6300,79312,83181,
2020/04/01,2020-Abr,URY,-1.2,-7.4,9.7,1506000,1191359,-16279,-14376,212264,959923,231436,759229,78269,76325,46100,-3980,-13596,3530,-1404,1074,185588,32136,19333,134119,87208,
2020/05/01,2020-May,URY,-3.2,-6.0,9.7,1528000,1167168,-24191,-38567,209974,930944,236224,735767,77421,76333,41423,808,-37058,2682,-1396,-3603,185769,31713,23100,130956,57896,
2020/06/01,2020-Jun,URY,-3.4,-5.0,10.7,1545000,1164535,-2633,-41200,208339,928561,235974,731621,79365,75753,41822,558,-41204,4626,-1976,-3204,170622,30524,27288,112810,54201,
2020/07/01,2020-Jul,URY,-3.2,-4.9,10.6,1547000,1166637,2102,-39098,209224,927413,239224,730012,79078,75596,42727,3808,-42813,4339,-2133,-2299,139570,30569,23263,85738,49935,
2020/08/01,2020-Ago,URY,-3.2,-4.8,10.8,1548000,1167206,569,-38529,210110,930013,237193,730539,79846,75996,43632,1777,-42286,5107,-1733,-1394,99218,34179,19873,45166,43937,
2020/09/01,2020-Sep,URY,-3.2,-3.8,11.0,1564000,1166568,-638,-39167,210518,928336,238232,728370,79791,75880,44295,2816,-44455,5052,-1849,-731,100347,35101,19897,45349,40842,
2020/10/01,2020-Oct,URY,-2.8,-2.8,11.2,1581000,1171764,5196,-33971,211610,932637,239127,731518,79520,75840,45759,3711,-41307,4781,-1889,733,85528,29016,17559,38953,41488,
2020/11/01,2020-Nov,URY,-2.7,-2.2,10.9,1590000,1173443,1679,-32292,211912,936505,236938,734148,79559,75829,46969,1522,-38677,4820,-1900,1943,,,,,,
