date,date3,oecd,per,td,msr,cot,var_mens,var_feb,sal_prom,inpc,def,msr_val
2018/01/01,2018-Ene,MEX,,3.316057153,,19532177,113722,,348.1104126,98.79,1.070,7278361304.62
2018/02/01,2018-Feb,MEX,,3.315163711,0.826298442,19696488,164311,,349.3848436,99.17,1.066,7338502290.66
2018/03/01,2018-Mar,MEX,,3.249106405,0.11542703,19786997,90509,,349.3143984,99.49,1.063,7346972905.92
2018/04/01,2018-Abr,MEX,,3.38178986,0.797331893,19874106,87109,,349.3678299,99.15,1.067,7405552664.07
2018/05/01,2018-May,MEX,,3.243555036,1.61426321,19908072,33966,,353.8272358,98.99,1.068,7525097776.22
2018/06/01,2018-Jun,MEX,,3.373037531,-0.557526441,19894575,-13497,,353.4532945,99.38,1.064,7483143366.43
2018/07/01,2018-Jul,MEX,,3.333791216,0.862828092,19949244,54669,,357.4315612,99.91,1.059,7547710029.55
2018/08/01,2018-Ago,MEX,,3.292785596,-0.370073872,20063433,114189,,356.1478684,100.49,1.052,7519777926.76
2018/09/01,2018-Sept,MEX,,3.336482262,-1.000927972,20192960,129527,,351.8030303,100.92,1.048,7444510366.06
2018/10/01,2018-Oct,MEX,,3.172853682,-0.049138115,20356179,163219,,350.6184393,101.44,1.043,7440852274.01
2018/11/01,2018-Nov,MEX,,3.325304982,0.244634699,20457926,101747,,352.7034246,102.30,1.034,7459055180.60
2018/12/01,2018-Dic,MEX,,3.62774927,-2.079097189,20079365,-378561,,354.3479222,103.02,1.027,7303974174.02
2019/01/01,2019-Ene,MEX,,3.468996033,5.464179717,20174011,94646,,372.274602,103.11,1.026,7703076449.33
2019/02/01,2019-Feb,MEX,,3.418304002,1.011127436,20299993,125982,,373.5999638,103.08,1.026,7780964368.75
2019/03/01,2019-Mar,MEX,,3.595767606,-0.350847097,20348508,48515,,372.8320073,103.48,1.022,7753665081.12
2019/04/01,2019-Abr,MEX,,3.47135718,0.330397113,20378927,30419,,373.7040071,103.53,1.021,7779282966.67
2019/05/01,2019-May,MEX,,3.55333344,1.324581113,20382910,3983,,377.490336,103.23,1.024,7882325879.60
2019/06/01,2019-Jun,MEX,,3.544766292,-0.361371143,20368666,-14244,,376.6298605,103.30,1.024,7853841428.47
2019/07/01,2019-Jul,MEX,,3.560798529,0.789876019,20385379,16713,,380.7182091,103.69,1.020,7915877038.47
2019/08/01,2019-Ago,MEX,,3.551319866,-0.079899893,20422010,36631,,379.6694074,103.67,1.020,7909552261.22
